Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.01  468066/5615318     std::unique_lock<std::mutex>::~unique_lock() [153]
                0.00    0.00  559688/559688      int const& std::max<int>(int const&, int const&) [915]
-----------------------------------------------
                0.10    1.73 1137859/1137859     Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int) [5]
[6]     24.3    0.10    1.73 1137859         std::future<decltype ({parm#1}())> Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}) [6]
                0.01    0.86 1152096/1152096     std::shared_ptr<std::packaged_task<void ()> > std::make_shared<std::packaged_task<void ()>, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&&) [23]
                0.01    0.29 1140911/1584486     std::packaged_task<void ()>::get_future() [47]
                0.00    0.19 1150238/1150238     decltype(auto) std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::emplace<Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>(Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}&&) [90]
                0.01    0.12 1172868/2312872     Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}::~future() [76]
                0.00    0.12 1121919/4855539     std::shared_ptr<std::packaged_task<void ()> >::~shared_ptr() [39]
                0.01    0.03 1159656/1697403     std::shared_ptr<std::packaged_task<void ()> >::shared_ptr(std::shared_ptr<std::packaged_task<void ()> > const&) [232]
                0.01    0.02 1161060/1631442     std::__shared_ptr_access<std::packaged_task<void ()>, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const [283]
                0.02    0.01 1158348/5408717     std::unique_lock<std::mutex>::unique_lock(std::mutex&) [133]
                0.01    0.01 1174405/5615318     std::unique_lock<std::mutex>::~unique_lock() [153]
                0.01    0.00 1141128/1141128     std::remove_reference<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&>::type&& std::move<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&) [512]
-----------------------------------------------
                0.01    0.36   60446/260246      FFNN::feedForward(Math::Matrix) [46]
                0.04    1.18  199800/260246      FFNN::backPropagate(Math::Matrix const&, Math::Matrix const&) [4]
[7]     21.0    0.05    1.54  260246         Math::operator*(Math::Matrix, Math::Matrix const&) [7]
                0.02    1.49  260247/260247      Math::Matrix::operator*=(Math::Matrix const&) [14]
                0.00    0.03  231762/4087017     Math::Matrix::Matrix(Math::Matrix const&) [33]
-----------------------------------------------
                0.00    1.51       4/4           std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> >::operator()() [9]
[8]     20.0    0.00    1.51       4         void std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>) [8]
                0.00    1.51       4/4           std::__invoke_result<Math::ThreadPool::start(unsigned long)::{lambda()#1}>::type std::__invoke<Math::ThreadPool::start(unsigned long)::{lambda()#1}>(Math::ThreadPool::start(unsigned long)::{lambda()#1}&&) [11]
                0.00    0.00       4/4           std::remove_reference<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}>&>::type&& std::move<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}>&>(std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}>&) [1126]
                0.00    0.00       4/4           std::tuple_element<0ul, std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> >::type&& std::get<0ul, Math::ThreadPool::start(unsigned long)::{lambda()#1}>(std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}>&&) [1125]
-----------------------------------------------
                0.00    1.51       4/4           std::thread::_State_impl<std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> > >::_M_run() [13]
[9]     20.0    0.00    1.51       4         std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> >::operator()() [9]
                0.00    1.51       4/4           void std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>) [8]
-----------------------------------------------
                0.00    1.51       4/4           std::__invoke_result<Math::ThreadPool::start(unsigned long)::{lambda()#1}>::type std::__invoke<Math::ThreadPool::start(unsigned long)::{lambda()#1}>(Math::ThreadPool::start(unsigned long)::{lambda()#1}&&) [11]
[10]    20.0    0.00    1.51       4         void std::__invoke_impl<void, Math::ThreadPool::start(unsigned long)::{lambda()#1}>(std::__invoke_other, Math::ThreadPool::start(unsigned long)::{lambda()#1}&&) [10]
                0.07    1.44       4/4           Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const [12]
                0.00    0.00       4/47          Math::ThreadPool::start(unsigned long)::{lambda()#1}&& std::forward<Math::ThreadPool::start(unsigned long)::{lambda()#1}>(std::remove_reference<Math::ThreadPool::start(unsigned long)::{lambda()#1}>::type&) [1054]
-----------------------------------------------
                0.00    1.51       4/4           void std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>) [8]
[11]    20.0    0.00    1.51       4         std::__invoke_result<Math::ThreadPool::start(unsigned long)::{lambda()#1}>::type std::__invoke<Math::ThreadPool::start(unsigned long)::{lambda()#1}>(Math::ThreadPool::start(unsigned long)::{lambda()#1}&&) [11]
                0.00    1.51       4/4           void std::__invoke_impl<void, Math::ThreadPool::start(unsigned long)::{lambda()#1}>(std::__invoke_other, Math::ThreadPool::start(unsigned long)::{lambda()#1}&&) [10]
                0.00    0.00       4/47          Math::ThreadPool::start(unsigned long)::{lambda()#1}&& std::forward<Math::ThreadPool::start(unsigned long)::{lambda()#1}>(std::remove_reference<Math::ThreadPool::start(unsigned long)::{lambda()#1}>::type&) [1054]
-----------------------------------------------
                0.07    1.44       4/4           void std::__invoke_impl<void, Math::ThreadPool::start(unsigned long)::{lambda()#1}>(std::__invoke_other, Math::ThreadPool::start(unsigned long)::{lambda()#1}&&) [10]
[12]    20.0    0.07    1.44       4         Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const [12]
                0.04    0.69 1724751/1724751     std::function<void ()>::operator()() const [31]
                0.02    0.26 1727985/1727985     std::function<void ()>::operator=(std::function<void ()>&&) [71]
                0.01    0.11 1735133/1735133     std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::pop() [136]
                0.04    0.08 1535987/1535987     void std::condition_variable::wait<Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1}>(std::unique_lock<std::mutex>&, Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1}) [150]
                0.03    0.06 1625350/5092084     std::function<void ()>::~function() [73]
                0.02    0.02 1560850/5408717     std::unique_lock<std::mutex>::unique_lock(std::mutex&) [133]
                0.01    0.02 1731688/5615318     std::unique_lock<std::mutex>::~unique_lock() [153]
                0.02    0.00 1577806/1577806     std::function<void ()>::function() [399]
                0.00    0.01 1718796/1718796     std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::front() [460]
                0.00    0.00       4/2864677     std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::empty() const [253]
                0.00    0.00 1724061/3450865     std::remove_reference<std::function<void ()>&>::type&& std::move<std::function<void ()>&>(std::function<void ()>&) [820]
-----------------------------------------------
                                                 <spontaneous>
[13]    20.0    0.00    1.51                 std::thread::_State_impl<std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> > >::_M_run() [13]
                0.00    1.51       4/4           std::thread::_Invoker<std::tuple<Math::ThreadPool::start(unsigned long)::{lambda()#1}> >::operator()() [9]
-----------------------------------------------
                0.02    1.49  260247/260247      Math::operator*(Math::Matrix, Math::Matrix const&) [7]
[14]    19.9    0.02    1.49  260247         Math::Matrix::operator*=(Math::Matrix const&) [14]
                0.04    1.35  260218/559627      Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int) [5]
                0.01    0.04  260250/559510      std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [171]
                0.00    0.02  226605/6609718     std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&) [27]
                0.00    0.01  229316/493327      std::function<void (int, int)>::~function() [349]
                0.00    0.01  235357/7151775     std::vector<double, std::allocator<double> >::~vector() [86]
                0.01    0.00  260219/260219      std::function<void (int, int)>::function<Math::Matrix::operator*=(Math::Matrix const&)::{lambda(int, int)#1}, void>(Math::Matrix::operator*=(Math::Matrix const&)::{lambda(int, int)#1}&&) [582]
                0.00    0.00  260220/9297560     std::allocator<double>::~allocator() [313]
                0.00    0.00  260248/6129898     std::allocator<double>::allocator() [386]
-----------------------------------------------
                0.00    1.14  199362/199362      FFNN::backPropagate(Math::Matrix const&, Math::Matrix const&) [4]
[15]    15.1    0.00    1.14  199362         Math::Matrix::oProd(Math::Matrix const&, Math::Matrix const&) [15]
                0.03    1.04  199645/559627      Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int) [5]
                0.01    0.03  199491/559510      std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [171]
                0.00    0.02  167775/260453      Math::Matrix::Matrix(int, int, std::vector<double, std::allocator<double> > const&) [309]
                0.00    0.01  171172/493327      std::function<void (int, int)>::~function() [349]
                0.00    0.00  173847/7151775     std::vector<double, std::allocator<double> >::~vector() [86]
                0.00    0.00  199574/9297560     std::allocator<double>::~allocator() [313]
                0.00    0.00  199463/6129898     std::allocator<double>::allocator() [386]
                0.00    0.00  797725/1391236     Math::Matrix::getCols() const [864]
                0.00    0.00  398858/1192189     Math::Matrix::getRows() const [868]
                0.00    0.00  199576/199576      std::function<void (int, int)>::function<Math::Matrix::oProd(Math::Matrix const&, Math::Matrix const&)::{lambda(int, int)#1}, void>(Math::Matrix::oProd(Math::Matrix const&, Math::Matrix const&)::{lambda(int, int)#1}&&) [962]
-----------------------------------------------
                                                 <spontaneous>
[16]    13.3    0.02    0.99                 std::once_flag::_Prepare_execution::_Prepare_execution<std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}>(void (std::__future_base::_State_baseV2::*&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*))::{lambda()#1}::_FUN() [16]
                0.01    0.98 1712821/1712821     std::once_flag::_Prepare_execution::_Prepare_execution<std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}>(void (std::__future_base::_State_baseV2::*&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*))::{lambda()#1}::operator()() const [17]
-----------------------------------------------
                0.01    0.98 1712821/1712821     std::once_flag::_Prepare_execution::_Prepare_execution<std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}>(void (std::__future_base::_State_baseV2::*&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*))::{lambda()#1}::_FUN() [16]
[17]    13.0    0.01    0.98 1712821         std::once_flag::_Prepare_execution::_Prepare_execution<std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}>(void (std::__future_base::_State_baseV2::*&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*))::{lambda()#1}::operator()() const [17]
                0.02    0.96 1711317/1711317     std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}::operator()() const [18]
-----------------------------------------------
                0.02    0.96 1711317/1711317     std::once_flag::_Prepare_execution::_Prepare_execution<std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}>(void (std::__future_base::_State_baseV2::*&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*))::{lambda()#1}::operator()() const [17]
[18]    12.9    0.02    0.96 1711317         std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}::operator()() const [18]
                0.00    0.94 1714511/1714511     std::__invoke_result<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>::type std::__invoke<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&) [19]
                0.01    0.00 1717420/5151404     std::__future_base::_State_baseV2*&& std::forward<std::__future_base::_State_baseV2*>(std::remove_reference<std::__future_base::_State_baseV2*>::type&) [387]
                0.00    0.00 1718374/3438702     void (std::__future_base::_State_baseV2::*&&std::forward<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*)>(std::remove_reference<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*)>::type&))(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*) [485]
                0.00    0.00 1717027/5154885     std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&& std::forward<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>(std::remove_reference<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>::type&) [481]
                0.00    0.00 1712781/5144272     bool*&& std::forward<bool*>(std::remove_reference<bool*>::type&) [814]
-----------------------------------------------
                0.00    0.94 1714511/1714511     std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}::operator()() const [18]
[19]    12.4    0.00    0.94 1714511         std::__invoke_result<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>::type std::__invoke<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&) [19]
                0.00    0.93 1715204/1715204     void std::__invoke_impl<void, void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::__invoke_memfun_deref, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&) [20]
                0.01    0.00 1720517/5151404     std::__future_base::_State_baseV2*&& std::forward<std::__future_base::_State_baseV2*>(std::remove_reference<std::__future_base::_State_baseV2*>::type&) [387]
                0.01    0.00 1720328/3438702     void (std::__future_base::_State_baseV2::*&&std::forward<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*)>(std::remove_reference<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*)>::type&))(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*) [485]
                0.00    0.00 1718515/5154885     std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&& std::forward<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>(std::remove_reference<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>::type&) [481]
                0.00    0.00 1713657/5144272     bool*&& std::forward<bool*>(std::remove_reference<bool*>::type&) [814]
-----------------------------------------------
                0.00    0.93 1715204/1715204     std::__invoke_result<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>::type std::__invoke<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&) [19]
[20]    12.2    0.00    0.93 1715204         void std::__invoke_impl<void, void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::__invoke_memfun_deref, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&) [20]
                0.02    0.90 1718734/1718734     std::__future_base::_State_baseV2::_M_do_set(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*) [21]
                0.01    0.00 1713467/5151404     std::__future_base::_State_baseV2*&& std::forward<std::__future_base::_State_baseV2*>(std::remove_reference<std::__future_base::_State_baseV2*>::type&) [387]
                0.00    0.00 1719343/5154885     std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&& std::forward<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>(std::remove_reference<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>::type&) [481]
                0.00    0.00 1717834/5144272     bool*&& std::forward<bool*>(std::remove_reference<bool*>::type&) [814]
-----------------------------------------------
                0.02    0.90 1718734/1718734     void std::__invoke_impl<void, void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::__invoke_memfun_deref, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&) [20]
[21]    12.1    0.02    0.90 1718734         std::__future_base::_State_baseV2::_M_do_set(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*) [21]
                0.01    0.72 1712243/1712243     std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>::operator()() const [30]
                0.00    0.09 1685826/1685826     std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::swap(std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>&) [178]
                0.01    0.06 1677485/3992437     std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::~unique_ptr() [104]
-----------------------------------------------
[22]    11.9    0.31    0.59 9847904+19585949 <cycle 1 as a whole> [22]
                0.16    0.34 8094142             std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release() <cycle 1> [40]
                0.01    0.22 1644240             std::packaged_task<void ()>::~packaged_task() <cycle 1> [82]
                0.07    0.00 11494414             std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count() <cycle 1> [204]
                0.03    0.02 1618001             std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [236]
                0.01    0.00 1651097             std::shared_ptr<std::__future_base::_Task_state_base<void ()> >::~shared_ptr() <cycle 1> [498]
                0.01    0.00 1647923             void std::allocator_traits<std::allocator<std::packaged_task<void ()> > >::destroy<std::packaged_task<void ()> >(std::allocator<std::packaged_task<void ()> >&, std::packaged_task<void ()>*) <cycle 1> [500]
                0.01    0.00 1642249             std::__shared_ptr<std::__future_base::_Task_state_base<void ()>, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr() <cycle 1> [502]
                0.01    0.00 1641787             void std::destroy_at<std::packaged_task<void ()> >(std::packaged_task<void ()>*) <cycle 1> [571]
-----------------------------------------------
